causes,total,male,female,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years ,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years 
Infectious and parasitic diseases,"5,581,075","2,972,956","2,608,118",62827,"772,270","218,754","278,141","645,575","302,225","252,227","440,936",51682,"711,064","210,977","235,363","432,164","204,218","205,697","556,954"
Tuberculosis,"1,310,239","808,628","501,611",0,"80,655",28119,134551,259709,131162,86709,87723,0,"66,779",26746,101527,"146,712","70,510",41965,"47,372"
STDs excluding HIV,"47,940","24,964","22,976","11,166","11,787",373,147,429,392,271,399,"9,993","6,406",468,825,1716,1275,847,1447
Syphilis,41998,24488,17511,11166,11787,338,105,322,303,225,241,9993,6406,421,123,184,87,66,230
Chlamydia,778,3,775,0,0,0,0,1,0,0,2,0,0,10,127,209,182,97,150
Gonorrhoea,2360,125,2235,0,0,4,20,35,22,20,25,0,0,16,280,620,535,352,432
Trichomoniasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genital herpes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other STDs,"2,804",348,"2,456",0,0,31,22,71,67,26,131,0,0,21,295,702,470,332,635
HIV/AIDS,"819,484","459,816","359,668",423,"43,054","22,298","50,247","252,319","65,133","20,228","6,113",416,"42,025","21,052","62,464","180,743","36,980","12,073","3,916"
Diarrhoeal diseases,"1,670,058","781,844","888,213","9,548","252,738","69,585","39,807","51,655","47,315","79,282","231,914","7,761","219,251","71,057","34,637","45,462","49,745","96,563","363,736"
Childhood-cluster diseases,"333,475","167,697","165,778",19170,"121,033","16,584",1960,3279,2324,1733,1614,15319,"120,044","21,755",1557,2238,1570,1219,2077
Whooping cough,"116,087","56,056","60,031",0,"50,640",4636,418,250,110,1,1,0,"51,860",7405,429,227,104,1,5
Diphtheria,"6,438","3,486","2,951",0,"2,666",662,43,70,44,1,1,0,"2,261",593,24,42,30,0,1
Measles,"155,912","77,480","78,433",0,67499,"9,861",92,18,4,1,5,0,65727,"12,531",155,17,2,1,0
Tetanus,"55,039","30,675","24,363","19,170",229,"1,425","1,407","2,942","2,166","1,730","1,607","15,319",196,"1,225",948,"1,953","1,435","1,217","2,071"
Meningitis,"264,039","140,552","123,487","19,393","50,195","18,916","10,718","15,091","8,851","7,891","9,496","15,117","42,480","19,218","8,605","11,679","7,486","7,162","11,739"
Encephalitis,"73,383","38,746","34,637",1516,"6,312","4,479","3,810","5,709","3,315","4,563","9,042",1771,"5,837","4,103","2,557","3,694","2,912","4,218","9,545"
Hepatitis,"108,947","60,847","48,100",0,"6,486","4,015","5,389","11,886","10,836","10,901","11,334",0,"5,094","4,120","3,837","7,139","6,683","6,961","14,265"
Acute hepatitis A,"44,430","22,925","21,505",0,"4,082",3042,"2,780","3,973","2,620","2,499","3,929",0,"3,389",2872,"2,371","3,390","2,510","2,003","4,969"
Acute hepatitis B,"35,903","22,913","12,990",0,1942,776,2280,"5,710","4,162","4,266","3,777",0,1258,933,1102,"2,318","1,836","2,400","3,144"
Acute hepatitis C,"26,599","13,779",12821,0,273,127,197,1946,3904,3939,3394,0,293,242,279,1290,2253,2476,5987
Acute hepatitis E,"2,015","1,231",784,0,190,69,132,256,151,197,235,0,155,73,85,140,84,82,164
Parasitic and vector diseases,"595,054","303,773","291,281",88,"160,174","34,213","23,427","30,521","20,034","19,964","15,353",78,"173,345","25,272","14,476","23,233","17,353","19,065","18,459"
