day,category,time
1-Mar,wordcloud,0.5
1-Mar,pie chart,0.5
1-Mar,page design,2
1-Mar,map,3
2-Mar,nothing,0
3-Mar,nothing,0
4-Mar,nothing,0
5-Mar,help from DASIL,1
5-Mar,map,1
5-Mar,map chart debug (r studio problem),2
6-Mar,map chart debug (r studio problem),2
6-Mar,help from professor,0.5
7-Mar,map chart debug (r studio problem),4
8-Mar,bar chart debug (r studio problem),3
8-Mar,help from mentor,1.3
9-Mar,pie chart,1
9-Mar,bar chart,2
9-Mar,scatterplot,2
9-Mar,map,5
9-Mar,page design,1
10-Mar,page design,2
10-Mar,shinyapp adjustment,2
10-Mar,scatterplot,4
10-Mar,help from Vivero,1.2
10-Mar,map,3
11-Mar,shinyapp adjustment,3
11-Mar,project documentation,4
11-Mar,log chart,1
